gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
22100078,10/30/2021,38cc50ce-7031-5ad2-ab75-4af26f4e601e,e957656d-a92d-5b7e-9328-957e07e252c8,BOS,WAS,6,17,10.38,TO,TMO,-3,0,,,,,,,,,,,WAS
22100231,11/19/2021,f14b98fb-470f-598e-a2dd-d99f33764783,d48041a6-1a36-5391-8a70-52ce526b9ffa,DET,GSW,4,8.6,2.08,FGORB,FGX3,-3,0,1,0,1,0,29.35206626,ATB,,,,,GSW
22100134,11/6/2021,4e5e840c-9ed5-5f1a-81e2-5dd67c1c50fc,56c42930-8265-5ba7-b674-f851b291a5f5,UTA,MIA,4,10.4,7.82,SLOB,FGX3,-3,0,1,0,1,0,32.39851766,ATB,,,,,MIA
22100137,11/6/2021,2219462f-9aee-5bf0-a28e-ddba80952dde,eebcc23c-9eba-55e7-8298-cfa8a52a6f24,ATL,PHX,4,19.3,14.96,SLOB,FGX3,-3,0,1,0,1,0,32.28422008,ATB,,,,,PHX
22100593,1/8/2022,d7ff086a-602e-581f-ac40-253de7065985,1be56f3e-9beb-5170-b795-7f37dca6dcc7,ORL,DET,4,8,2.9,SLOB,FGX3,-3,0,1,0,1,0,31.74645438,ATB,,,,,DET
22100206,11/15/2021,820d4ddc-7e10-5e35-aa64-fc3da6cae1fa,5e5047e7-5111-5777-936c-0e335a889a36,MIN,PHX,4,19.1,17.88,SLOB,FGM,-3,2,1,1,0,0,98.89508657,NRA,,,,,PHX
22100887,2/17/2022,7f760802-adb0-56bb-b03d-a10392b2c462,f4134fe3-5366-5ca6-8dfe-269c1f780dde,MIL,PHI,4,1.2,0,SLOB,FGX3,-3,0,,,,,,,,,,,PHI
22101149,3/31/2022,290db0d7-3dfa-5479-b805-f7871d9aef04,41644791-c1a8-57f9-8862-a36798ed70b8,CHI,LAC,4,11.8,9.38,SLOB,FGM,-3,2,1,1,0,0,92.06737074,RA,,,,,CHI
22100422,12/15/2021,a404a509-6f31-516f-976b-a8aaadd86856,23238c77-141d-5ae8-8eee-b1d5031381a1,OKC,NOP,4,7.2,5.66,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,NOP
22100416,12/14/2021,71c2b187-3e08-5a67-816f-b0edb9e9fa9a,a9bb2510-4b42-5a2a-81d4-70f4e26bd8f8,POR,PHX,5,21.1,13.14,FGDRB,FOU_N,-3,0,,,,,,,1,0,,,PHX
22100149,11/8/2021,b654bd35-17d8-5858-a7b0-b1faa22ac038,5ed08b11-4058-529a-9dd4-7f39cdfe5578,MIN,MEM,4,1.1,0,SLOB,FGM3,-3,3,,,,,,,,,,,MEM
22100153,11/8/2021,10d62890-46ac-5253-98a6-693f22fd4abe,ef78a266-a386-5fa0-a836-7559b7b15867,SAC,PHX,4,7.84,5.78,FTDRB,TO,-3,0,,,,,,,,,,,PHX
22101012,3/13/2022,d5938e2a-5fa1-5acb-9f24-4044d3f6a4bb,d669d82f-80ef-5c9f-a75f-84bdc5f70f23,NYK,BKN,4,6.6,2.66,FTM,FOU_B,-3,2,,,,,,,1,0,2,0,BKN
22100832,2/10/2022,33ad945e-3790-5378-9aa2-007c657f657c,8e53e207-bdb9-5115-8224-afa4d968d9a3,BKN,WAS,4,19.94,7.32,FGDRB,FOU_S,-3,2,0,0,0,0,,RA,1,1,2,2,WAS
22100730,1/24/2022,7df63958-1f67-5320-a189-d32339d06112,6761ca5a-e48f-5308-89d8-85e228d033cc,OKC,CHI,4,9.9,2.28,FTM,FGX3,-3,0,1,0,1,0,37.56910327,ATB,,,,,CHI
22100420,12/15/2021,1f7cf456-ec2c-5699-ab26-4b09663f640b,b1496207-ee7c-5ed2-ac7a-8fa036f83449,LAL,DAL,4,17.96,5.36,FGDRB,FGX3,-3,0,1,0,1,0,43.83286546,ATB,,,,,LAL
22100123,11/4/2021,1aab8777-710e-5870-b6b6-9c420dde138b,fb23c72c-a274-56bf-87e4-8da3b1eda8bd,LAL,OKC,4,7.8,1.22,FTM,FGX3,-3,0,1,0,1,0,28.28768758,ATB,,,,,OKC
22100046,10/25/2021,09131866-0c5c-52e2-92c2-6591bfe5fad4,bb8c906c-1238-5359-809a-9a7b6eac6529,TOR,CHI,4,9.7,0,FTM,FGX3,-3,0,1,0,1,0,48.26201459,ATB,,,,,CHI
22101050,3/18/2022,69b61faa-3e5f-553b-95e5-bf54e2494c33,152e7d66-ca99-5417-8264-ef4bc17d4171,WAS,NYK,4,4.9,0,SLOB,FGX3,-3,0,1,0,1,0,34.63849061,ATB,,,,,NYK
22100704,1/23/2022,597424d6-1953-5154-96fa-034ff997c6e6,cea553c1-70d5-5745-9a2c-1e584ef082ec,SAS,PHI,4,14.9,7.32,FTM,FGX3,-3,0,1,0,1,0,30.9560096,ATB,,,,,PHI
22000027,12/26/2020,fa289ed9-2ca4-5a10-a322-2745db1c29ed,bd5ec115-6a95-5fe2-8451-4abe04aa43b3,TOR,SAS,4,8.4,3.1,BLOB,FGX3,-3,0,1,0,1,0,47.78578887,ATB,,,,,SAS
22000336,2/3/2021,6cd5de49-1d8e-5c37-8161-3d7a3f590929,ebf3a141-4c11-5abb-b4c9-3278d6fcccfd,BOS,SAC,4,9.3,7.4,SLOB,FOU_B,-3,0,,,,,,,1,0,2,0,SAC
22000792,4/9/2021,01bd5d2c-df0b-5295-99de-59f8d82519b1,e8c0eedb-dad4-598a-868b-c20f00769993,MIN,BOS,4,17.3,8.6,SLOB,FGM3,-3,3,1,1,1,1,39.38745798,ATB,,,,,BOS
22000348,2/5/2021,5ee77ef6-2cac-5e23-984a-7d75b6405078,1227f89c-e1dc-56dd-811a-81e6885e9501,OKC,MIN,4,2.9,0,SLOB,FGX3,-3,0,1,0,1,0,34.17671325,ATB,,,,,MIN
22000846,4/16/2021,7cc69eb6-ebda-524f-aec1-7f49b1752cd0,300daad5-010b-5d10-9d12-c07fe301d13d,LAC,PHI,4,9.8,5.18,SLOB,FGX3,-3,0,1,0,1,0,40.53107701,ATB,,,,,PHI
22000754,4/3/2021,49ca26ea-2940-53d9-b00c-84506fa90b3a,38a11c5f-2927-5d77-9db3-6f3e9bff0a2f,SAC,MIL,4,9.4,3.54,FTM,FGM,-3,2,1,1,0,0,87.91986631,RA,,,,,MIL
22000554,3/4/2021,49150851-1003-5ce9-8cb1-7108beadc44f,81343098-8083-5d92-a585-a9a57547c861,LAC,WAS,4,11.7,8.6,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,WAS
22001042,5/12/2021,6d0e899a-00ed-5433-adf9-0b67905e88e6,327e2e14-d36e-5532-898c-64b67fea465c,WAS,ATL,4,13.2,7.22,SLOB,FGX3,-3,0,1,0,1,0,39.94688968,ATB,,,,,ATL
22000604,3/15/2021,dfe80070-e4da-599e-8db1-b6733316915d,9f47339b-3c6e-57c1-bb13-7802b2fe4b06,NYK,BKN,4,5.7,3.28,JMP,TO,-3,0,,,,,,,,,,,BKN
22000984,5/4/2021,eeab61ae-b5db-5988-a473-0d0cb6e7793a,7b77d0c8-3ea4-5106-a33e-c1e37297d40a,DET,CHA,4,5.84,0,FTM,FGX3,-3,0,1,0,1,0,33.81436085,ATB,,,,,CHA
22000249,1/24/2021,a5e3f4e8-28ee-5de4-b2af-3d92d34d110b,38e68fff-3d2c-5d1e-b6e5-ca3a5a61dab0,IND,TOR,4,18.04,7.7,FTM,FGX,-3,0,1,0,0,0,82.16009199,RA,,,,,TOR
22000479,2/22/2021,d86434f3-4850-58e3-8556-3e410ffddb59,eb2464ea-cfd9-513c-a9ae-637f413c24a3,LAL,WAS,5,11.64,3.98,FTDRB,FGX3,-3,0,1,0,1,0,30.68433478,ATB,,,,,WAS
22000324,2/2/2021,5e51281d-d2d3-5af8-ac78-0def54193999,b3f074c4-b9cd-5200-8989-abdcec90c6d9,LAC,BKN,4,9.8,7.18,FTM,FOU_B,-3,2,,,,,,,1,0,2,0,BKN
22000862,4/18/2021,525f1cc6-d59f-524c-b076-066efd00ab06,4ab79120-0e5f-5da6-981b-5c389982fada,NYK,NOP,4,7.8,2.34,SLOB,FGM3,-3,3,1,1,1,1,57.13466182,Corner,,,,,NYK
22000063,12/31/2020,7911b372-76ed-565e-bcec-0c2b714790ea,94b15002-7f93-578e-aa53-a828b95aea81,WAS,CHI,4,14.2,6.66,SLOB,FGX3,-3,2,1,0,1,0,43.99103726,ATB,,,,,CHI
22000336,2/3/2021,6cd5de49-1d8e-5c37-8161-3d7a3f590929,19f838c7-adeb-5640-b665-b27c991831c7,BOS,SAC,4,7.4,2.9,FTORB,FGX3,-3,0,1,0,1,0,45.1084989,Corner,,,,,SAC
22000614,3/16/2021,9b844f2b-0aae-5c45-aec4-62be395d40ee,e7907454-bdf7-5992-a055-6342097379f6,POR,NOP,4,6.9,5.24,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,POR
22000310,1/31/2021,ca0d7b8b-3f0e-5d6d-a339-68a1922a8dd8,d10db65e-8c5a-570a-9e3d-386c309acc7d,WAS,BKN,4,23.3,14,FTM,FGX3,-3,0,1,0,1,0,30.02643323,ATB,,,,,WAS
22000878,4/20/2021,09e1af12-ebe2-5ddd-a1a1-e68e01561f91,5135fa6e-1aff-51ed-92d4-94502e06f1d9,NOP,BKN,4,12.4,11.46,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,BKN
22000350,2/5/2021,163313a3-720c-5fe2-9284-61d9512ef2df,5d5f289c-0734-5526-9225-8b376839bf49,LAC,BOS,4,5.7,0,FTM,EPD,-3,0,,,,,,,,,,,BOS
22000288,1/29/2021,b14ba702-7988-59e9-8eae-31908a132c6d,9869a822-9574-50a3-96da-dcbe4ae92620,IND,CHA,4,8.7,4.04,SLOB,FGX3,-3,0,1,0,1,0,42.00819379,ATB,,,,,CHA
22000585,3/12/2021,d6e88c33-84cf-5227-85f7-197e3efad470,36e68973-13c6-5450-8465-91f4befc0ec0,IND,LAL,4,18.02,9.98,FGDRB,TMO,-3,0,,,,,,,,,,,LAL
22000100,1/4/2021,e067816b-bd39-5b24-9467-23109b5a6677,2a05e45d-80fc-59ed-87dc-57c4d4acb837,IND,NOP,4,13.98,7,TO,FGM3,-3,3,1,1,1,1,42.40651809,ATB,,,,,IND
22000691,3/26/2021,f87fe3bd-3bc1-556c-9d12-bdfd1c9043c3,6ba21916-0a29-5a40-9d9a-231bcd34ef64,MEM,UTA,4,13.34,4.44,SLOB,FGX3,-3,0,1,0,1,0,36.3526397,ATB,,,,,UTA
22000837,4/14/2021,dacc150c-a56c-5e2b-874e-b864b62f17fa,b52a60a8-af58-5a0d-8588-718f6de7c37f,DAL,MEM,4,12.6,3.3,SLOB,FOU_S,-3,1,0,0,0,0,,NRA,1,1,2,2,DAL
